d,k,r,p,sl,bs,ed,hd,lr,dr,ep,seg_algo,rnn_var,comb_method,dataset,type,recall,precision,f-score
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,as,test,0.752,0.686,0.718
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,cityu,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,cityu,test,0.737,0.645,0.688
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,msr,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,msr,test,0.798,0.716,0.755
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,pku,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,40,rnn_be_strict_pr,,,pku,test,0.771,0.707,0.738
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,as,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,as,test,0.758,0.699,0.727
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,cityu,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,cityu,test,0.744,0.662,0.701
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,msr,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,msr,test,0.797,0.724,0.759
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,pku,train,0,0,0
,,,,3,4096,256,256,0.0002,0.2,80,rnn_be_strict_pr,,,pku,test,0.772,0.722,0.746
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,as,test,0.744,0.750,0.747
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,cityu,test,0.738,0.725,0.731
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,msr,test,0.783,0.744,0.763
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,fewseg_clear_p,pku,test,0.762,0.757,0.759
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,as,test,0.707,0.742,0.724
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,cityu,test,0.687,0.708,0.697
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,msr,test,0.720,0.725,0.722
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,fewseg_clear_p,pku,test,0.693,0.728,0.710
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,as,test,0.696,0.740,0.717
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,cityu,test,0.678,0.708,0.692
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,msr,test,0.712,0.723,0.718
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,pr,fewseg_clear_p,pku,test,0.686,0.727,0.706
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,as,test,0.761,0.750,0.756
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,cityu,test,0.750,0.722,0.736
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,msr,test,0.798,0.744,0.770
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_prob,fewseg_clear_p,pku,test,0.776,0.755,0.765
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,as,test,0.760,0.753,0.756
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,cityu,test,0.748,0.724,0.736
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,msr,test,0.792,0.747,0.769
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_rank,fewseg_clear_p,pku,test,0.768,0.757,0.763
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,as,test,0.759,0.753,0.756
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,cityu,test,0.747,0.725,0.736
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,msr,test,0.789,0.747,0.767
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,strict_pr,fewseg_clear_p,pku,test,0.767,0.757,0.762
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,as,test,0.662,0.733,0.696
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,cityu,test,0.683,0.730,0.706
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,msr,test,0.735,0.744,0.739
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,prob,trust_rnn,pku,test,0.709,0.753,0.730
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,as,test,0.602,0.720,0.656
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,cityu,test,0.607,0.707,0.653
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,msr,test,0.621,0.707,0.661
300,1500,,16,3,4096,256,256,0.0002,0.2,80,rnn_p_nt,rank,trust_rnn,pku,train,0,0,0
