d,k,p,dataset,type,recall,precision,f-score
300,1500,6,msr,train,0,0,0
300,1500,6,msr,test,0.789,0.735,0.761
300,1500,6,pku,train,0,0,0
300,1500,6,pku,test,0.766,0.743,0.755
300,1000,6,as,train,0,0,0
300,1000,6,as,test,0.724,0.722,0.723
300,1000,6,cityu,train,0,0,0
300,1000,6,cityu,test,0.725,0.699,0.712
300,1000,6,msr,train,0,0,0
300,1000,6,msr,test,0.780,0.729,0.754
300,1000,6,pku,train,0,0,0
300,1000,6,pku,test,0.760,0.739,0.749
300,500,6,as,train,0,0,0
300,500,6,as,test,0.684,0.681,0.683
300,500,6,cityu,train,0,0,0
300,500,6,cityu,test,0.690,0.668,0.679
300,500,6,msr,train,0,0,0
300,500,6,msr,test,0.743,0.696,0.719
300,500,6,pku,train,0,0,0
300,500,6,pku,test,0.741,0.722,0.732
300,100,6,as,train,0,0,0
300,100,6,as,test,0.544,0.531,0.538
300,100,6,cityu,train,0,0,0
300,100,6,cityu,test,0.599,0.576,0.587
300,100,6,msr,train,0,0,0
300,100,6,msr,test,0.559,0.516,0.537
300,100,6,pku,train,0,0,0
300,100,6,pku,test,0.611,0.593,0.602
300,50,6,as,train,0,0,0
300,50,6,as,test,0.541,0.529,0.535
300,50,6,cityu,train,0,0,0
300,50,6,cityu,test,0.545,0.526,0.535
300,50,6,msr,train,0,0,0
300,50,6,msr,test,0.535,0.494,0.514
300,50,6,pku,train,0,0,0
300,50,6,pku,test,0.527,0.508,0.517
300,10,6,as,train,0,0,0
300,10,6,as,test,0.562,0.556,0.559
300,10,6,cityu,train,0,0,0
300,10,6,cityu,test,0.543,0.530,0.536
300,10,6,msr,train,0,0,0
300,10,6,msr,test,0.566,0.529,0.547
300,10,6,pku,train,0,0,0
300,10,6,pku,test,0.543,0.531,0.537
300,5000,8,as,train,0,0,0
300,5000,8,as,test,0.746,0.734,0.740
300,5000,8,cityu,train,0,0,0
300,5000,8,cityu,test,0.739,0.702,0.720
300,5000,8,msr,train,0,0,0
300,5000,8,msr,test,0.795,0.736,0.765
300,5000,8,pku,train,0,0,0
300,5000,8,pku,test,0.772,0.744,0.758
300,2000,8,as,train,0,0,0
300,2000,8,as,test,0.744,0.736,0.740
300,2000,8,cityu,train,0,0,0
300,2000,8,cityu,test,0.736,0.705,0.721
300,2000,8,msr,train,0,0,0
300,2000,8,msr,test,0.793,0.736,0.763
300,2000,8,pku,train,0,0,0
300,2000,8,pku,test,0.772,0.746,0.759
300,1500,8,as,train,0,0,0
300,1500,8,as,test,0.742,0.735,0.738
300,1500,8,cityu,train,0,0,0
300,1500,8,cityu,test,0.739,0.711,0.725
300,1500,8,msr,train,0,0,0
300,1500,8,msr,test,0.793,0.737,0.764
300,1500,8,pku,train,0,0,0
300,1500,8,pku,test,0.770,0.746,0.758
300,1000,8,as,train,0,0,0
300,1000,8,as,test,0.734,0.728,0.731
300,1000,8,cityu,train,0,0,0
300,1000,8,cityu,test,0.731,0.703,0.717
300,1000,8,msr,train,0,0,0
300,1000,8,msr,test,0.784,0.730,0.756
300,1000,8,pku,train,0,0,0
300,1000,8,pku,test,0.765,0.742,0.753
300,500,8,as,train,0,0,0
300,500,8,as,test,0.699,0.691,0.695
300,500,8,cityu,train,0,0,0
300,500,8,cityu,test,0.699,0.674,0.686
300,500,8,msr,train,0,0,0
300,500,8,msr,test,0.752,0.700,0.725
300,500,8,pku,train,0,0,0
300,500,8,pku,test,0.747,0.725,0.736
300,100,8,as,train,0,0,0
300,100,8,as,test,0.566,0.548,0.557
300,100,8,cityu,train,0,0,0
300,100,8,cityu,test,0.607,0.578,0.592
300,100,8,msr,train,0,0,0
300,100,8,msr,test,0.580,0.530,0.554
300,100,8,pku,train,0,0,0
300,100,8,pku,test,0.624,0.600,0.612
300,50,8,as,train,0,0,0
300,50,8,as,test,0.563,0.544,0.554
300,50,8,cityu,train,0,0,0
300,50,8,cityu,test,0.560,0.534,0.547
300,50,8,msr,train,0,0,0
300,50,8,msr,test,0.560,0.511,0.535
300,50,8,pku,train,0,0,0
300,50,8,pku,test,0.549,0.523,0.536
300,10,8,as,train,0,0,0
300,10,8,as,test,0.580,0.564,0.572
300,10,8,cityu,train,0,0,0
300,10,8,cityu,test,0.555,0.534,0.545
300,10,8,msr,train,0,0,0
300,10,8,msr,test,0.574,0.526,0.549
300,10,8,pku,train,0,0,0
300,10,8,pku,test,0.559,0.537,0.548
300,5000,10,as,train,0,0,0
300,5000,10,as,test,0.750,0.735,0.743
300,5000,10,cityu,train,0,0,0
300,5000,10,cityu,test,0.741,0.703,0.721
300,5000,10,msr,train,0,0,0
300,5000,10,msr,test,0.797,0.736,0.765
300,5000,10,pku,train,0,0,0
300,5000,10,pku,test,0.775,0.745,0.760
300,2000,10,as,train,0,0,0
300,2000,10,as,test,0.750,0.739,0.744
300,2000,10,cityu,train,0,0,0
300,2000,10,cityu,test,0.741,0.708,0.724
300,2000,10,msr,train,0,0,0
