d,k,r,p,sl,bs,ed,hd,lr,dr,ep,seg_algo,dataset,type,recall,precision,f-score
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_strict_pr,cityu,test,0.821,0.738,0.777
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_strict_pr,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_strict_pr,msr,test,0.868,0.777,0.820
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_strict_pr,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,40,r_p_naive_threshold-rnn_be_strict_pr,pku,test,0.850,0.778,0.812
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,as,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,as,test,0.844,0.780,0.811
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,cityu,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,cityu,test,0.822,0.742,0.780
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,msr,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,msr,test,0.869,0.781,0.823
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,80,r_p_naive_threshold-rnn_be_strict_pr,pku,test,0.849,0.782,0.814
